SurveyColNames	SimplifiedColNames	VariableFormat	AskedTo	Description
Timestamp	Timestamp	double	Everyone	Date and time of survey response submission
How would you describe your usage of the AnVIL platform?	CurrentUsageDescription	character	Everyone	"Possible answers include Consistently for ongoing projects; Occasionally for short-term projects; Occasionally for updates and maintenance on long-term projects; Used it before, but don't currently plan to use it again; Heard of it, but have never used it; Never heard of it"
What changed that made you stop using AnVIL?	WhyStop	character	PastAndPotential	This is a free text response question where respondents are given the ability to give longer answers. There won't be a response from every respondent since this question is only asked to a subset of users
Rank the following platform features in terms of their importance to you as a potential user of the AnVIL. [Transparent billing and ability to foresee project cost]	PotentialRankTransparentBilling	list	Potential	"Possible values are 1 (Most important in this list), 2, 3, 4, 5, 6 (Least important in this list), or NULL. NULL applies to survey responses where this question wasn't asked"
Rank the following platform features in terms of their importance to you as a potential user of the AnVIL. [Easy workgroup and user management]	PotentialRankWorkgroupManagement	list	Potential	"Possible values are 1 (Most important in this list), 2, 3, 4, 5, 6 (Least important in this list), or NULL. NULL applies to survey responses where this question wasn't asked"
Rank the following platform features in terms of their importance to you as a potential user of the AnVIL. [Specific industry standard tools are available/supported]	PotentialRankTools	list	Potential	"Possible values are 1 (Most important in this list), 2, 3, 4, 5, 6 (Least important in this list), or NULL. NULL applies to survey responses where this question wasn't asked"
"Rank the following platform features in terms of their importance to you as a potential user of the AnVIL. [Trusted, widely used or latest versions of datasets are available/supported]"	PotentialRankData	list	Potential	"Possible values are 1 (Most important in this list), 2, 3, 4, 5, 6 (Least important in this list), or NULL. NULL applies to survey responses where this question wasn't asked"
Rank the following platform features in terms of their importance to you as a potential user of the AnVIL. [On-demand support and documentation]	PotentialRankSupportDocs	list	Potential	"Possible values are 1 (Most important in this list), 2, 3, 4, 5, 6 (Least important in this list), or NULL. NULL applies to survey responses where this question wasn't asked"
Rank the following platform features in terms of their importance to you as a potential user of the AnVIL. [Greater adoption of the AnVIL platform by the scientific community]	PotentialRankCommunityAdoption	list	Potential	"Possible values are 1 (Most important in this list), 2, 3, 4, 5, 6 (Least important in this list), or NULL. NULL applies to survey responses where this question wasn't asked"
Which is your preferred payment structure? [[Subscription-based] - Recurring monthly or annual fee with tiered pricing based on features]	PotentialPaySub	list	Potential	"Possible values are 1 (Most preferred in this list), 2, 3 (Least preferred in this list), or NULL. NULL applies to survey responses where this question wasn't asked"
"Which is your preferred payment structure? [[Pay-per-use] - All charges are based on usage, such as the number of analyses run, data processed, or compute time and storage used]"	PotentialPayUse	list	Potential	"Possible values are 1 (Most preferred in this list), 2, 3 (Least preferred in this list), or NULL. NULL applies to survey responses where this question wasn't asked"
"Which is your preferred payment structure? [[Freemium with upgrades] - Basic features are free, while advanced tools, additional storage, or premium support requires payment]"	PotentialPayFreeTier	list	Potential	"Possible values are 1 (Most preferred in this list), 2, 3 (Least preferred in this list), or NULL. NULL applies to survey responses where this question wasn't asked"
How long have you been using the AnVIL platform?	LengthOfUse	character	Returning	"Possible responses include < 1 yr, 1-2 yrs, 2-3 yrs, 3-4 yrs, 5+ yrs, or NA. NA applies to survey responses where this questions wasn't asked"
Rank the following platform features in terms of their importance for your continued use of the AnVIL. [Transparent billing and ability to foresee project cost]	ReturningRankTransparentBilling	list	Returning	"This question is directly related to PotentialRankTransparentBilling. Possible values are 1 (Most important in this list), 2, 3, 4, 5, 6 (Least important in this list), or NULL. NULL applies to survey responses where this question wasn't asked"
Rank the following platform features in terms of their importance for your continued use of the AnVIL. [Easy workgroup and user management]	ReturningRankWorkgroupManagement	list	Returning	"This question is directly related to PotentialRankWorkgroupManagement. Possible values are 1 (Most important in this list), 2, 3, 4, 5, 6 (Least important in this list), or NULL. NULL applies to survey responses where this question wasn't asked"
Rank the following platform features in terms of their importance for your continued use of the AnVIL. [Specific industry standard tools are available/supported]	ReturningRankTools	list	Returning	"This question is directly related to PotentialRankTools. Possible values are 1 (Most important in this list), 2, 3, 4, 5, 6 (Least important in this list), or NULL. NULL applies to survey responses where this question wasn't asked"
"Rank the following platform features in terms of their importance for your continued use of the AnVIL. [Trusted, widely used or latest versions of datasets are available/supported]"	ReturningRankData	list	Returning	"This question is directly related to PotentialRankData. Possible values are 1 (Most important in this list), 2, 3, 4, 5, 6 (Least important in this list), or NULL. NULL applies to survey responses where this question wasn't asked"
Rank the following platform features in terms of their importance for your continued use of the AnVIL. [On-demand support and documentation]	ReturningRankSupportDocs	list	Returning	"This question is directly related to PotentialRankSupportDocs. Possible values are 1 (Most important in this list), 2, 3, 4, 5, 6 (Least important in this list), or NULL. NULL applies to survey responses where this question wasn't asked"
